Title|Post date|Path|Date|Meeting Year|Presentation Title|Presenter Name|Summary
:::Chapter AGM / Lightning Sessions - Focus on Classroom Practice|10/26/2023 16:06:03|/chapters/kq/schedule/2023/november/11|11/11/2023 - 18:00 to 20:00|2023||Various Chapter Officers, Hudson Murrell, Markus Yong|This month's meeting will be divided into two parts. First, we will hold the chapter Annual General Meeting (AGM). Officer reports will be tabled, and we will elect our officers for 2024.****Following this this will be our Lightning Session presentations on the theme of Focus on Classroom Practices.****Hudson Murrell****Small Group Discussion on DIM (Digital Instructional Materials) Homework****Students are required to do as homework a listening activity of their choice. I have set up a blog with links to such sites as ELLLO, BreakingNewsEnglish, and Ted Talks. For the weekly homework activities, students need to access one of these sites, choose something to listen to, and then fill out a simple online journal to record what they worked on. Three times during the semester they are required to fill out a My Top 5 sheet of homework they have done, and bring this to class. They discuss this in small groups. I will outline multiple ways in which this discussion is effective for the students' learning.****Hudson Murrell is a professor at Sanyo Onoda City University in Yamaguchi. His research interests are in gamification, increasing speaking output and extensive reading.****Markus Yong****An AI-based Extensive Reading Program****In the first semester of 2023, my students participated in a weekly extensive reading program whereby they created and read their own stories via ChatGPT. This presentation will provide preliminary results from this experimental program.****Markus Yong has been teaching English in Japan for 17 years, and currently works at Kyushu Kyouritsu University.****Each presenter will have 15 minutes to share their ideas.****After the presentations, there will be time for questions and discussion. Participants will also be encouraged to briefly share other ideas they may have related to classroom practices.****
:::Kitakyushu JALT Open Meeting|09/21/2023 12:07:07|/chapters/kq/schedule/2023/october/21|10/21/2023 - 18:00 to 20:00|2023||Various|All members and interested people are invited to join an open meeting to discuss the future of the Kitakyushu JALT Chapter. We will be talking about the viability of the chapter, future plans and projects, and openings for chapter officers. If you have any ideas for revitalising our chapter, please come and join us.****
:::Bringing ChatGPT into the Language Classroom: Getting a Piece of the AI Pie in the Sky|04/06/2023 13:16:46|/chapters/kq/schedule/2023/june/17|06/17/2023 - 18:00 to 20:00|2023||Steve McGuire|****Link to the presentation slideshow: https://tinyurl.com/2023McGKita3********The presentation is an extension of two previous presentations. The focus of this presentation is to explore the practical application of artificial intelligence (AI) technology in language instruction, specifically using ChatGPT and other applications.************During the presentation, we will discuss a planned collaboration between the English teachers at Nagoya University of Arts. This collaboration will involve creating supplemental follow-up activities based on the language and text of each unit of our chosen textbook. We will also explore ideas for meeting individual students' ability levels, needs, and interests.************Many teachers are concerned that students can use AI to complete traditional classroom tasks without actually learning the material. Therefore, we will emphasize creative and critical thinking, live interaction, and real-time performance to avoid overreliance on AI and encourage students to demonstrate their learning.************Furthermore, we will discuss how AI can save teachers time and effort by creating lesson plans and individualized assessments, including Google Forms-formatted quizzes and feedback on student essays. We will also share some available tools and resources and explore the near future of AI in language education.************Join us as we delve into the exciting world of AI and its potential in language education. Let's get a piece of our AI pie!************Steve McGuire is a Professor at Nagoya University of the Arts who is interested in cooperative learning, vocabulary, qualitative and quantitative research, and CALL. He has been teaching with, and writing about computers for education since 1989 and posting and presenting about ChatGPT since it came out in November of 2022.********For this presentation, Steve will be joining us online at our venue in Kokura. Please join us there in person to take part.****
:::Lightning Sessions: Focus on Classroom Practices|04/06/2023 12:46:43|/chapters/kq/schedule/2023/july/08|07/08/2023 - 18:00 to 19:00|2023||Steven Apotheker, Markus Yong, Andrew Zitzmann|Unfortunately, due to the uncertain weather conditions, it has been decided to cancel this evening's meeting. We will try and reschedule for later in the year.****For our July meeting we will be holding a number of short (15-minute) presentations with a focus on classroom practices. The lineup is as follows:****Using Total Physical Response in the College Classroom****Steven Apotheker - Seinan Gakuin University****Total Physical Response (TPR) in foreign language education is considered to be best suited for beginners. While games like Simon Says or Touch are simple ways to teach action verbs or vocabulary for objects found around the classroom, TPR is rarely used beyond the beginner level. This presentation will introduce three ways that TPR can be used to provide hints to intermediate students to help them self-correct common mistakes and omissions. I will demonstrate the hand gestures that I use for pronouns and be-verbs, prepositions of place, and common mistakes such as omitted articles and particles.****Steven Apotheker is an Assistant Professor at Seinan Gakuin University in Fukuoka, Japan. He graduated with an MA from Kyushu University and the University of Michigan.****Report on PanSIG Kyoto****Markus Yong - Kyushu Kyoritsu University****In this presentation I will provide an overview of what I'd learnt from attending several presentations during the PanSIG conference held on the 13th of May. This will then be followed by a discussion of how these insights could be applied to the classroom.****Markus Yong has been teaching English in Japan since 2006. He started as an ALT and has taught at a number of universities in the Kitakyushu region including Kyushu Kyoritsu University where he is currently full-time. His research interests have involved gamification, task based language learning, international cultural exchanges and AI assisted language learning.****Increasing Student Interaction in an EFL Classroom****Andrew Zitzmann - Seinan Jo Gakuin University****A common challenge in the language classroom is getting students to interact with each other. This presentation will initially examine some of the transitional causes for poor student interaction and look at the benefits of increased interaction for both the student and the teacher. It will also offer some practical and easy-to-apply solutions that will make the class more active and effective.****Andrew Zitzmann has been teaching in the Kitakyushu area since 1992. His interests are in student satisfaction and educational transitions.********We are currently planning to hold our summer social event after the presentations, so please check back for more details closer to the date.****
:::2030 SDGs game – An invitation to explore our world and yourself –  / 「2030 SDGs ゲーム」～世界と自分を探求する体験～|03/12/2023 09:59:43|/chapters/kq/schedule/2023/may/20|05/20/2023 - 18:00 to 20:00|2023||網岡健司  Kenji Amioka| The 2030 SDGs is a card-based game where you can experience the journey to 2030 in order to achieve the Sustainable Development Goals.****This game is not for studying the SDGs. It gives people a direct experience of participating in co-creating a sustainable world (“I can do it”; “what I do makes a difference.”) Therefore, even those who have never heard of the word SDGs or who are not very interested in it can become enthusiastic and enjoy themselves while understanding the essence of the SDGs.****「2030 SDGs」は、持続可能な開発目標を達成するための2030 年までの旅を体験できるカードゲームです。****このゲームはSDGsを勉強するためのものではありません。持続可能な世界の共創に参加する直接的な体験を人々に提供します (「私にはできる」、「私の行動が違いを生み出す」)。****そのため、SDGsという言葉を聞いたことがない人や、あまり興味のない人でも、SDGsの本質を理解しながら、夢中になって楽しむことができます。****Kenji Amioka is a specialist and an activist who has been involved in planning and producing sustainable urban development projects in Kitakyushu City for over 30 years. He has been working towards the realization of a sustainable society from various positions such as private think tank company and social enterprise. As part of that, he actively holds workshops mainly for young people who will lead the future as a certified facilitator of this 2030 SDGs game.**** 網岡　健司****北九州市で持続可能なまちづくりプロジェクトの企画やプロデュースに30年以上関わっている専門家であり活動家。現在は研究機関やNPOの立場から持続可能な社会の実現に向けた活動を実践、その一環として「2030SDGsゲーム」の認定ファシリテーターとして未来を担う若者へのワークショップを積極的に開催している。****Please pre-register here • お申し込みはこちらへ: https://forms.gle/D2qEoScFL3qootaj6********
:::Maximising the Potential of Machine Translation: A Workshop for Language Educators |02/14/2023 21:41:05|/chapters/kq/schedule/2023/april/08|04/08/2023 - 18:00 to 20:00|2023||Louise Ohashi|AI technology is making rapid gains and its impact on language teaching and learning is about to reach new heights. Widespread accessibility to highly developed machine translation tools can be problematic when students simply want to avoid doing coursework, but they are powerful learning aids when used in meaningful ways. Furthermore, while translation accuracy in the newly-released chatbot ChatGPT is still poor, it can already provide useful examples at different levels of formality and offer useful explanations. Its accuracy will increase rapidly as data from millions of daily users helps it improve though deep learning. In this workshop, participants will discuss and try different ways they can guide students to develop their L2 skills with DeepL, GoogleTranslate and ChatGPT, both through in class activities and for self-study.****Associate Professor Louise Ohashi (Gakushuin University, Japan) specializes in SLA and language education. Her main research interests are learner autonomy, motivation, and language learning/teaching with technology. She is the Chair of EUROCALL’s AI SIG and an avid language learner who speaks Japanese, Italian, and French (plus her L1, English) and has begun her journey with Spanish and German. Connect with her if you love languages. Twitter: @OhashiLou****
:::Narrative Inquiry into Language Teacher Identity: ALTs in the JET Program|12/03/2022 14:53:25|/chapters/kq/schedule/2023/march/11|03/11/2023 - 18:15 to 19:45|2023||Takaaki Hiratsuka|For over three decades, hundreds of thousands of foreign nationals have set foot on Japanese soil as foreign assistant language teachers (ALTs) through the government-sponsored Japan Exchange and Teaching (JET) program. The job of the ALTs is to teach English in elementary and secondary schools, in tandem with Japanese teachers of English (JTEs). Although there is an apparent need for scrutiny of the lived experiences of ALTs in their situated contexts, empirical discussion and research addressing them have been remarkably insufficient. Against this backdrop, the study on which this presentation is based explored, via narrative interviews, the identities and their constructions of 25 ALTs in the JET program. It is of critical importance to understand the complexities of ALT identity because how we view ourselves, how we project ourselves to others, and how others perceive us impact all aspects of our professional and private lives, including our beliefs, emotions, development, and practices. The findings revealed that the gestalt of ALT identity is comprised of two primary categories, foreigner identity and dabbler identity, and their six incumbent sub-identities (i.e., celebrity, sojourner, English expert, assistant, greenhorn, and Japanese novice). The presentation concludes with implications for language teacher education and identity research.****Takaaki Hiratsuka is an associate professor at Ryukoku University in Kyoto, Japan, where he teaches a range of applied linguistics courses at both undergraduate and postgraduate levels. He currently supervises master’s and PhD students in related fields of language teacher education and narrative inquiry. He received his PhD from the University of Auckland, New Zealand. His recent book publications include: Narrative inquiry into language teacher identity: ALTs in the JET program (2022, Routledge) and Team teachers in Japan: Beliefs, identities, and emotions (in press, Routledge).  ****Note: This meeting will be in our regular venue in Kitakyushu. In keeping with our chapter policy, and dependant on the COVID situation, attendees may be required to wear a mask whilst at the presentation.****Doors open at 6pm, the presentation will start around 6:15pm.****Attendance is free for JALT members, 1,000 yen at the door for nonmembers.****
:::Practical Approaches to Making Impactful Presentations|12/03/2022 14:38:07|/chapters/kq/schedule/2023/february/11|02/11/2023 - 18:15 to 19:45|2023||Jackson Koon Yat Lee|After a year of presentations, events, and conferences, now is a great time to reflect on your presentation styles and approaches. What are your ways to capture your audience’s attention? Are you using your slides efficiently? How do you end your talks memorably?****In this session, the speaker will introduce and demonstrate essential skills and approaches that can be applied immediately to improve presentations of a variety of levels and settings. Together, we will explore multiple ways to introduce and conclude a talk, as well as become more aware of common downfalls some speakers habitually find themselves attached to. Overall, this session will help you be able to share your ideas and connect with the audience in more effective and impactful ways. The elements discussed will also be applicable to students who are learning about foundational presentation skills. Students and teachers of presentation classes are highly encouraged to partake in this session.****Jackson Koon Yat Lee is a Specially-Appointed Lecturer at Toyo University in Tokyo. He finds joy in giving professional development presentations about a range of topics, and during his 5 years of presenting, he has given over 35 presentations for various events. He is a former Chair of the Diversity, Equity and Inclusion Committee as well as a former Gifu Chapter President. His research interests include intercultural communication, diversity in ELT, teacher education and the Japanese English education system. ****Note: This meeting will be in our regular venue in Kitakyushu. In keeping with our chapter policy, and dependant on the COVID situation, attendees may be required to wear a mask whilst at the presentation.****Doors open at 6pm, the presentation will start around 6:15pm.****Attendance is free for JALT members, 1,000 yen at the door for nonmembers.****
:::More Personal Finance in Japan|12/03/2022 13:12:09|/chapters/kq/schedule/2023/january/21|01/21/2023 - 18:15 to 19:45|2023||Ben Shearon|****As space is limited at the presentation venue, please preregister your attendance: https://forms.gle/i5TXresTijqa7rvg6 ********Personal finance is the cornerstone of a comfortable life. If you have good money habits and knowledge you will be able to enjoy your life and spend your time doing interesting and productive things. If you have bad money habits and knowledge you will probably not enjoy your life and will spend a lot of time worrying about money. ****This session will go through a rapid-fire series of practical personal finance principles and tips for residents of Japan, followed by a question and answer discussion session. This is a new workshop format so should be useful even if you have attended a RetireJapan seminar before. Come with questions, leave with new ideas and answers.****Ben Shearon (Tanaka) was a university lecturer in Sendai (he retired from formal work in March 2022). He has been in Japan since July 2000, and has run the RetireJapan website since 2013. RetireJapan is the best (and only?) place to find information in English on personal finance, investing, and retirement in Japan, with a wealth of free information and a supportive online community. ****Note: This meeting will be in our regular venue in Kitakyushu. It will not be online****In keeping with our chapter policy, and based on the COVID situation, all attendees may be required to wear a mask whilst at the presentation.****Doors open at 6 pm, the presentation will start around 6:15pm.****Attendance is free for JALT members, 1,000 yen at the door for nonmembers.****
:::Getting More Out of Peer Feedback|10/15/2022 11:56:42|/chapters/kq/schedule/2022/november/05|11/05/2022 - 18:15 to 19:45|2022||Zack Robertson|********Peer feedback activities (also known as “peer assessment” or “peer review”) are popular among teachers for facilitating student interaction and task engagement while simultaneously offering students formative assessment opportunities. When implemented properly, they can encourage synthesis of target material as learners attend to specific aspects of quality criterion, as well as deeper processing that has been linked with metacognitive development such as self-regulation, awareness, and evaluative expertise. Additionally, the cooperative aspects of peer feedback have been linked to increased learner enjoyment, resulting in lowered affective resistance toward communicating in the L2.************Many instructors, however, struggle to find ways to effectively conduct these activities while balancing the myriad of competing demands their job entails. This presentation will provide attendees with a review of the theoretical underpinnings of peer feedback, an examination of environmental factors that influence peer feedback efficacy, and an overview of an exploratory study conducted by the presenter into what learners actually take away from the activity. A set of basic guidelines will then be introduced that teachers can use to adapt peer feedback activities to better align with their respective teaching contexts. The presentation will conclude by offering attendees the chance to ask questions or share their own ideas/experiences concerning peer feedback activities.************Zack Robertson has been teaching English in the Kitakyushu area for over 17 years, starting in elementary schools as a member of the JET Program before moving to the university level where he has taught at several universities in the Fukuoka/Yamaguchi area. His research interests include peer feedback and English for Academic Purposes. He currently teaches technical communication and academic writing/presentation courses at the Yamaguchi University School of Engineering.********Note: This meeting will be in our regular venue in Kitakyushu. It will not be online. We will also be holding our Chapter AGM / election for next year's officers. This will start approx 30 minutes prior to the presentation. All members are welcome to attend****
